DSB repair/PC/,DSB repair/PCW/,DSB repair/NC/,DSB repair/NCW/,DSB repair/PA/,DSB repair/PAW/,DSB repair/NA/,DSB repair/NAW/,APOBEC-C/PC/,APOBEC-C/PCW/,APOBEC-C/NC/,APOBEC-C/NCW/,APOBEC-C/PA/,APOBEC-C/PAW/,APOBEC-C/NA/,APOBEC-C/NAW/,SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,APOBEC-D/PC/,APOBEC-D/PCW/,APOBEC-D/NC/,APOBEC-D/NCW/,APOBEC-D/PA/,APOBEC-D/PAW/,APOBEC-D/NA/,APOBEC-D/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,SBS8/PA/,SBS8/PAW/,SBS8/NA/,SBS8/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,HRD status/PA/,HRD status/PAW/,HRD status/NA/,HRD status/NAW/
,,,,SEMA7A,0.000923551,,,,,,,,,,,,,,,,,,,,,,,EXOSC10,0.000913718,EXOSC9,-0.004789395,,,,,KIFAP3,0.000657417,IL4R,-0.002939378,,,,,DCTN3,0.002294377,RPA1,-0.004801052,,,,,,,,
,,,,CXCL9,0.000890466,,,,,,,,,,,,,,,,,,,,,,,USP9X,0.000900501,WDR7,-0.004709012,,,,,ABCF3,0.000633515,XAF1,-0.002764358,,,,,SEC61A1,0.002292997,SAMHD1,-0.004765857,,,,,,,,
,,,,DFFA,0.000632979,,,,,,,,,,,,,,,,,,,,,,,NCF2,0.000842654,PI4K2A,-0.004689014,,,,,GTF2H2C,0.000580231,ATP11C,-0.002726848,,,,,DYNC1I2,0.00224252,OSTM1,-0.004760179,,,,,,,,
,,,,SMAD3,0.000402783,,,,,,,,,,,,,,,,,,,,,,,AP1G1,0.000774195,RAN,-0.004577429,,,,,PSMD7,0.000427307,TNFAIP3,-0.002699567,,,,,SEMA7A,0.002148689,IRAK2,-0.004662273,,,,,,,,
,,,,GCNT1,2.07E-05,,,,,,,,,,,,,,,,,,,,,,,TROVE2,0.000729801,C1R,-0.004377237,,,,,CDK9,0.000380224,TAPBP,-0.002401091,,,,,SIN3A,0.002148603,MYO10,-0.004534069,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPS8,0.000694088,SMARCB1,-0.004239359,,,,,,,GRB2,-0.001735316,,,,,PSMA4,0.002032469,SAR1B,-0.004364485,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAB2IP,0.000593134,HNRNPD,-0.004218782,,,,,,,REXO4,-0.001448136,,,,,ATAD5,0.001984329,TRIM27,-0.004211296,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUVBL1,0.000484673,SAA1,-0.00393096,,,,,,,FOXJ1,-0.001416227,,,,,RECQL,0.001826307,C1QB,-0.004149615,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIST1H2BK,0.000417801,NCKIPSD,-0.003838632,,,,,,,RFTN1,-0.00122586,,,,,AKAP8,0.00181295,LIMK1,-0.004054795,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMC2,0.000155845,CALR,-0.003795752,,,,,,,AIF1,-0.00111151,,,,,EXOSC10,0.001702306,AIFM1,-0.003854697,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,LY86,0.000128695,DAPK3,-0.003791535,,,,,,,RPL13A,-0.000999817,,,,,LCK,0.001681019,ITGAX,-0.003727502,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD34,0.000120186,COPS4,-0.003756338,,,,,,,TRIM32,-0.000824649,,,,,RFX1,0.001390043,RIPK1,-0.003700141,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGALS1,-0.003720382,,,,,,,AGBL5,-0.000785594,,,,,FBXW11,0.00131586,ERCC6,-0.00365088,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USP7,-0.003641048,,,,,,,MYO1G,-0.000759677,,,,,BCAR1,0.001214548,TRIM56,-0.003599307,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHMT2,-0.003538316,,,,,,,IL2RG,-0.00059502,,,,,ITGA5,0.001207647,AKT1,-0.003465558,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLH1,-0.003269999,,,,,,,NFKB1,-0.000584372,,,,,ANKRD17,0.001192611,XRCC3,-0.003433947,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM91,-0.003118982,,,,,,,CD58,-0.000316335,,,,,CRCP,0.001041815,PSME3,-0.003409188,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSME4,-0.003054598,,,,,,,,,,,,,PSMD12,0.000976295,ASF1A,-0.003222695,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRPB1,-0.002925103,,,,,,,,,,,,,SH2B3,0.000959683,DDX41,-0.003169532,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRCP,-0.002888633,,,,,,,,,,,,,PLCG2,0.000880536,PIK3C3,-0.003148923,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMB5,-0.002749137,,,,,,,,,,,,,CCNB2,0.000831015,COPS4,-0.003123772,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIPR1,-0.002705058,,,,,,,,,,,,,FANCI,0.000725446,KLRK1,-0.003082642,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL2RB,-0.002649639,,,,,,,,,,,,,MAP2K1,0.000657694,WDHD1,-0.002886786,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMK1,-0.002640407,,,,,,,,,,,,,OTUB1,0.000626872,IP6K2,-0.002882116,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHA1,-0.002529303,,,,,,,,,,,,,HIST1H2BJ,0.000461617,TRIM8,-0.002871399,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBC,-0.002515654,,,,,,,,,,,,,CFI,0.000373539,PARP9,-0.002774636,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAF6,-0.002467122,,,,,,,,,,,,,TNFAIP1,0.00036889,TRAF6,-0.002750307,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF168,-0.002393759,,,,,,,,,,,,,POLA1,0.00033771,C1QBP,-0.002726238,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALKBH2,-0.002352016,,,,,,,,,,,,,TPD52,0.000175565,SSRP1,-0.00271676,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFNGR1,-0.002278318,,,,,,,,,,,,,RAC1,4.25E-05,PSMD5,-0.002606144,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB5B,-0.002222697,,,,,,,,,,,,,CD40,2.27E-05,PRMT5,-0.002595292,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCF3,-0.002206618,,,,,,,,,,,,,UPF1,2.08E-05,ABL2,-0.00251318,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC24D,-0.002173409,,,,,,,,,,,,,IRF9,1.37E-05,POLR2L,-0.002395057,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AKT1,-0.00189494,,,,,,,,,,,,,,,SLC11A2,-0.002281126,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEX1,-0.001876372,,,,,,,,,,,,,,,GNL1,-0.002240944,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP1S1,-0.001811321,,,,,,,,,,,,,,,RFWD3,-0.002196873,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRP5,-0.001763032,,,,,,,,,,,,,,,POLR3B,-0.002047673,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAF3,-0.001748285,,,,,,,,,,,,,,,ILF3,-0.00191794,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRRC8A,-0.001746369,,,,,,,,,,,,,,,PMS1,-0.001894103,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSF1,-0.00167871,,,,,,,,,,,,,,,AP1S1,-0.001881053,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALB2,-0.001622882,,,,,,,,,,,,,,,PBX1,-0.001857227,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERC2,-0.001532353,,,,,,,,,,,,,,,ERI2,-0.001751296,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDX3X,-0.001527955,,,,,,,,,,,,,,,KPNB1,-0.001728821,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMBOX1,-0.001497508,,,,,,,,,,,,,,,HUWE1,-0.00151135,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCTN1,-0.001250455,,,,,,,,,,,,,,,RPL13A,-0.00149746,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR3D,-0.001206388,,,,,,,,,,,,,,,AEN,-0.001475941,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2RX7,-0.00114226,,,,,,,,,,,,,,,STK11,-0.001447026,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL21R,-0.001125387,,,,,,,,,,,,,,,MAPKAPK5,-0.001353758,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPNB1,-0.001111765,,,,,,,,,,,,,,,PTPN11,-0.001349531,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOP2B,-0.001102826,,,,,,,,,,,,,,,IFI16,-0.001064104,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRKD2,-0.00109826,,,,,,,,,,,,,,,UBE2N,-0.001039144,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBBP8,-0.001082509,,,,,,,,,,,,,,,PSMA3,-0.000979603,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEMA7A,-0.001050142,,,,,,,,,,,,,,,USP45,-0.000955683,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STUB1,-0.000997152,,,,,,,,,,,,,,,CINP,-0.000944085,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLI1,-0.000978374,,,,,,,,,,,,,,,TLR7,-0.000749376,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHX36,-0.000929354,,,,,,,,,,,,,,,ABCC9,-0.000723741,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAP2,-0.000787439,,,,,,,,,,,,,,,SNX27,-0.000683636,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C12orf29,-0.000717132,,,,,,,,,,,,,,,CLTA,-0.000563971,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TDP1,-0.000709786,,,,,,,,,,,,,,,DMAP1,-0.000543208,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSCC1,-0.000698281,,,,,,,,,,,,,,,STAT2,-0.000479282,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPER,-0.000627811,,,,,,,,,,,,,,,HNRNPK,-0.000467916,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGM3,-0.00061796,,,,,,,,,,,,,,,WDR70,-0.000336781,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUDT16L1,-0.000580692,,,,,,,,,,,,,,,COPS2,-0.000311038,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARP2,-0.000565998,,,,,,,,,,,,,,,DHTKD1,-0.000274774,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCRIP,-0.000463945,,,,,,,,,,,,,,,COPS3,-0.000271227,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TDG,-0.000378032,,,,,,,,,,,,,,,CHD2,-0.000170807,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAF,-0.00034087,,,,,,,,,,,,,,,EXOG,-8.55E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCT5,-0.000325234,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTR8,-0.000178162,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHUK,-0.000158617,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TINF2,-6.68E-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLCN,-5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,
