DSB repair/PC/,DSB repair/PCW/,DSB repair/NC/,DSB repair/NCW/,DSB repair/PA/,DSB repair/PAW/,DSB repair/NA/,DSB repair/NAW/,APOBEC-C/PC/,APOBEC-C/PCW/,APOBEC-C/NC/,APOBEC-C/NCW/,APOBEC-C/PA/,APOBEC-C/PAW/,APOBEC-C/NA/,APOBEC-C/NAW/,SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,APOBEC-D/PC/,APOBEC-D/PCW/,APOBEC-D/NC/,APOBEC-D/NCW/,APOBEC-D/PA/,APOBEC-D/PAW/,APOBEC-D/NA/,APOBEC-D/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,SBS8/PA/,SBS8/PAW/,SBS8/NA/,SBS8/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,HRD status/PA/,HRD status/PAW/,HRD status/NA/,HRD status/NAW/
,,,,RAD18,0.011312675,IKBKB,-0.011929995,,,,,LILRB2,0.011109937,SEC24B,-0.007904079,,,AZGP1,-0.001022313,RC3H2,0.017351354,JAM2,-0.015288541,,,,,LILRA1,0.010860501,EHMT1,-0.011512495,,,,,RACGAP1,0.014124434,FYN,-0.014120353,,,,,KIN,0.008620149,RNF8,-0.011183242,,,,,HLA-DOB,0.015139129,NUDT15,-0.010762901
,,,,ATG7,0.010732461,RAD17,-0.011692573,,,,,FANCI,0.010342346,ZNF3,-0.006974546,,,,,EEPD1,0.015174119,MBD2,-0.014991183,,,,,ARHGEF2,0.010061905,USP1,-0.0114267,,,,,HSP90AB1,0.012459171,ID2,-0.013770631,,,,,HMGB2,0.00860209,SRPK1,-0.011094619,,,,,HFE,0.013722512,PPP3CA,-0.009663822
,,,,CEBPB,0.010483462,IL18,-0.010951156,,,,,HLA-DQA1,0.010214837,CHD7,-0.006959936,,,,,TCF7L2,0.014470976,CD8A,-0.012943454,,,,,ABI1,0.008969766,DYNC1H1,-0.010441464,,,,,LILRB4,0.011971535,BCCIP,-0.012248654,,,,,IRF2,0.00836716,PSMD6,-0.010838048,,,,,POLE3,0.013294027,CD151,-0.008905756
,,,,CTPS,0.010227537,KIF13B,-0.010709093,,,,,IL2RG,0.010177704,RUVBL1,-0.006468489,,,,,IMPDH2,0.014169019,EXOG,-0.011980256,,,,,FER,0.008718002,HSP90B1,-0.010295508,,,,,WDR7,0.0116055,PTPN6,-0.011842297,,,,,NUDT16L1,0.008203402,POLL,-0.010711822,,,,,NBEAL2,0.012822088,PTPRO,-0.008456983
,,,,LIMK1,0.010092167,BRCA1,-0.009798656,,,,,DAPK1,0.010124418,CHUK,-0.0048965,,,,,POLR2C,0.012248321,MSH6,-0.011888365,,,,,FH,0.008627403,GSK3A,-0.009937029,,,,,CNR2,0.011499044,FAM105B,-0.010822901,,,,,TMEM91,0.007974328,CCT7,-0.010380448,,,,,CTNNB1,0.012182743,LONP1,-0.007275613
,,,,RAD23A,0.009835362,POLI,-0.009368246,,,,,CCL19,0.009571485,CXCL16,-0.00483573,,,,,HSPD1,0.012038267,BMPR2,-0.011671743,,,,,DYNC2H1,0.008220009,DMAP1,-0.009863034,,,,,DUSP1,0.010639073,INO80B,-0.010651593,,,,,PNP,0.007611106,DBNL,-0.009946912,,,,,IL10RB,0.012063339,IPO7,-0.006488571
,,,,NR4A3,0.009795666,COPS3,-0.009162117,,,,,PDE4D,0.006901129,KIT,-0.004473442,,,,,UBE2V1,0.01161189,PIK3R1,-0.011119302,,,,,ARPC5,0.007815054,TATDN2,-0.009750549,,,,,SAR1B,0.01057028,POT1,-0.010600679,,,,,RAD51C,0.007465985,GTF2H2C,-0.009850271,,,,,GPI,0.011170975,TNK1,-0.00598207
,,,,MYD88,0.009271698,TROVE2,-0.008954694,,,,,ETS1,0.006712763,EPS8,-0.004392476,,,,,PSMD13,0.008541862,RTKN2,-0.010243038,,,,,GLO1,0.007724199,POLM,-0.009524603,,,,,UBE2V1,0.010244362,PTGER4,-0.009900068,,,,,XBP1,0.007346147,SLC30A9,-0.009845806,,,,,XPC,0.009383184,HRAS,-0.005665406
,,,,PSMB5,0.008847744,ZSWIM7,-0.008298761,,,,,FOXP3,0.0066823,STUB1,-0.004328541,,,,,ASH2L,0.007454,RAD18,-0.007797161,,,,,CDC42,0.007683464,TNKS1BP1,-0.009249813,,,,,JMY,0.009008391,CD274,-0.009887624,,,,,PSMC6,0.007304023,SFXN1,-0.0094897,,,,,IKZF3,0.009232746,GAB3,-0.005462599
,,,,EXOG,0.0088423,USP47,-0.008279643,,,,,PSME4,0.006123828,KAT5,-0.00334844,,,,,TWIST1,0.00684278,RPA2,-0.007659902,,,,,FBXW11,0.007502282,BAX,-0.008827763,,,,,DYNLL2,0.008631752,SETMAR,-0.009804106,,,,,SMC1A,0.007051604,PMS2,-0.00928793,,,,,AP2M1,0.008956006,VAV3,-0.005087823
