SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,SBS2/PC/,SBS2/PCW/,SBS2/NC/,SBS2/NCW/,SBS2/PA/,SBS2/PAW/,SBS2/NA/,SBS2/NAW/,SBS4/PC/,SBS4/PCW/,SBS4/NC/,SBS4/NCW/,SBS4/PA/,SBS4/PAW/,SBS4/NA/,SBS4/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS13/PC/,SBS13/PCW/,SBS13/NC/,SBS13/NCW/,SBS13/PA/,SBS13/PAW/,SBS13/NA/,SBS13/NAW/,SBS40/PC/,SBS40/PCW/,SBS40/NC/,SBS40/NCW/,SBS40/PA/,SBS40/PAW/,SBS40/NA/,SBS40/NAW/
SBS2,0.014585328067959038,ABCB4,-0.012140961007481695,,,,,,,,,AIM2,0.0077737431159896715,PATZ1,-0.00454942711771484,LTO1,0.001878625289503097,,,RAD51AP1,0.0053411993293273384,C5,-0.0046482665693866115,,,CD3D,-0.002587147309784571,SFTPD,0.0014855478730963054,,,,,,,BATF3,0.0076965528493717,CD34,-0.005198770282452714,,,,,DTX3L,0.0013327480848537225,NEIL1,-0.0011506577454253387
APOBEC3C,0.009374498327854128,TCF7,-0.012137254179288891,,,,,,,,,APTX,0.006171215681622447,EEPD1,-0.0045483440046512275,IRAK4,0.0002321883327113441,,,CD96,0.004011098785980096,DBH,-0.002927617859896521,,,IL1RAP,-0.001969549976879148,INHBA,0.001107302484306261,,,,,,,IL17RA,0.007188158866269914,LTB,-0.005028794910383815,,,,,HLA-DMB,0.0007090875193442454,XAF1,-0.0006853088894131082
PDPK1,0.0074471997258626485,INO80B,-0.011959315333610577,,,,,,,,,PSMD11,0.0036415261315035016,ITGB5,-0.004239965394263035,,,,,EME1,0.0038693822919380174,HELLS,-0.002694240495938773,,,,,,,,,,,,,PRDX1,0.007132228016823994,CYFIP1,-0.004426398242923625,,,,,STXBP2,0.0006283392073873592,TSPAN2,-0.00022253341162990425
MAD1L1,0.007398485143248355,ULBP3,-0.010411994671662879,,,,,,,,,CDC6,0.00317521812120367,HIF1A,-0.003666730718744276,,,,,NEK2,0.003537595345041757,RNF168,-0.0020198994633791032,,,,,,,,,,,,,SBS4,0.0069721131723265856,IGHV1OR21-1,-0.0038455826161248787,,,,,COPS3,0.0005022130874269263,,
NUDT16L1,0.0068465049716654605,DDX3X,-0.009873249509685246,,,,,,,,,FUT10,0.0026731721681290226,BMP6,-0.0034675454938907675,,,,,PRIM1,0.003449267144950705,CD1E,-0.001988322579185182,,,,,,,,,,,,,MASP1,0.0058497790538448655,B2M,-0.003644501607132835,,,,,TRAT1,0.0002411154221645984,,
SRMS,0.005014257142602861,NLRX1,-0.008559982460783759,,,,,,,,,HLA-F,0.002582534011047756,PRKACB,-0.002713549913783413,,,,,CALCA,0.002993284022609474,HOXB4,-0.001673984536341138,,,,,,,,,,,,,DTX3L,0.0037734434282712314,COPS6,-0.0017880279415822347,,,,,PSMD14,0.00011076492536589606,,
HIF1A,0.004758655579215107,SEC61A1,-0.006333161286462198,,,,,,,,,POLK,0.0014456825277255926,IGKV3-20,-0.002338500086153117,,,,,SH2D1A,0.0029405535819964183,IFI44L,-0.0016655967292771422,,,,,,,,,,,,,RIPK2,0.003598121812949492,INO80,-0.00029521312531031844,,,,,IGKV1-5,9.805696137274416e-05,,
CBX8,0.00468528674606756,MPO,-0.005992414723584215,,,,,,,,,EXO1,0.0011376320526016806,ITGA4,-0.0016995796640536188,,,,,IGKV1-5,0.00291347692685969,TATDN2,-0.0016060189243866788,,,,,,,,,,,,,PIK3CA,0.0021059815537767604,,,,,,,IGHG1,2.4459111896222313e-05,,
C4A,0.0034629718429123593,RORA,-0.004440387049477634,,,,,,,,,,,TPD52,-0.0015610827108090905,,,,,CD7,0.002730085965946989,TNFAIP8L2,-0.0014688458511512266,,,,,,,,,,,,,NTHL1,0.0018450434631037023,,,,,,,,,,
CXCL5,0.002207989635422292,IL18RAP,-0.003119968562305661,,,,,,,,,,,PTK2,-0.0007440664880943963,,,,,PSMB6,0.0025837910877854193,HLA-F,-0.0013200279127989136,,,,,,,,,,,,,CCT5,0.001382832761652345,,,,,,,,,,
PLA2G6,0.001829217593216852,BANK1,-0.002635745094800502,,,,,,,,,,,ORC4,-0.00014389536869903807,,,,,H4C5,0.002430415730421269,CD300LF,-0.0009935989733537989,,,,,,,,,,,,,PIBF1,0.00011200760218417483,,,,,,,,,,
,,CEP164,-0.002578616383437547,,,,,,,,,,,,,,,,,UBE2T,0.0023552913513987827,CTNNB1,-0.0009393780618168617,,,,,,,,,,,,,,,,,,,,,,,,
,,POLL,-0.0017159973372046205,,,,,,,,,,,,,,,,,ZC3H8,0.001086352572921844,PCLAF,-0.0005950076957804591,,,,,,,,,,,,,,,,,,,,,,,,
,,H4C14,-0.0015062826543197072,,,,,,,,,,,,,,,,,PSMB1,0.0007213217731288461,SKP1,-0.0004060482943531712,,,,,,,,,,,,,,,,,,,,,,,,
,,FANCG,-0.0008006226795782488,,,,,,,,,,,,,,,,,C1QB,0.00057973607035736,HERC2,-0.00012924788783184174,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TOPBP1,0.00011819270775484043,ZBTB48,-0.00012167399851388018,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,XCL2,3.93497113451418e-05,CD207,-5.733640713114028e-06,,,,,,,,,,,,,,,,,,,,,,,,
